Alpha,Beta,Gamma,b_pr,theta_pr
88.84579227760966,0,0.6533435645596744,3.995139567093408,10.566265888392461
91.04494142471692,0,2.3434062161332863,3.9920602482979275,10.645711542894855
89.73085925957254,89,88.09479907531558,4.099936640528727,5.114814414975637
92.65470253639111,90,88.41234400521024,4.110746468260621,5.112024415015487
181.69281619662627,180,0.0,3.4916048358137712,4.213957721700924
177.30421866819478,180,0.38080652706414236,3.501137503165792,4.1295507362744575
178.59933617657614,179,0.0,3.478992960521512,4.231596652371974
293.8372894089402,119,339.5664932455619,2.921603301292381,8.360775476275634
294.4722900517929,119,336.7515857436898,2.900066717732683,8.410819317894353
304.2398997339281,120,300.8515737919323,2.9553522810536434,5.496575999999999
39.006611478729674,100,294.30439001965937,4.002062763626325,10.0197594997595
0.0,89,201.29720156080722,4.605572783834592,5.149950414506851
99.5493441667864,76,200.9,3.628453209731732,6.805123849964615
178.89034125515948,91,89.53115921544402,4.600186203497792,12.294847654940737
184.14213630875923,90,84.01025143270384,4.599385996290348,12.378566193627721
270.0,50,50.803127082930786,4.056447918981034,6.958734977862113
271.29476940793785,0,2.5324327703550504,4.01062580669863,10.662024291464284
0.0,91,88.00390636399516,4.599311031385896,12.351323692173068
0.0,91,91.7561954560881,4.6064684709218815,12.39491672161007
200.44876798767532,120,342.8846353453534,3.0835201205767717,4.147040665153932
200.57547492277945,119,341.6811256070167,3.101502970396211,3.9415053777038525
290.48769811953935,60,20.9,2.9009162264010238,5.496575999999999
200.9964826793043,59,21.7113734119049,3.083302398384743,4.099739525945117
111.31485050966306,60,18.735937314373587,2.887068023691858,8.320680585186755
110.42288102693932,58,20.42288102693931,2.9251115248979307,9.40071353620147
98.84721624608055,102,299.25084414374,3.5920258614690592,6.406387049300957
107.19605064522204,114,326.8539282098011,3.1126669485996916,6.406387049300957
1.176259029477606,88,179.654314480688,4.595668678524888,4.707043701130686
84.11519211148534,81,109.45647010030444,3.762116293482412,6.406387049300957
34.15790206057468,74,168.60050220162296,3.749205369512197,4.691816108664381
176.24528833432896,84,173.83145252968353,4.343102990870614,3.625920804787112
143.99203097215266,60,172.2019316465564,3.350754672661367,4.759305413687436
45.84451867391861,69,167.09397685510118,3.4745109783848065,4.6917810053523805
0.0,89,258.4194210499489,4.600939351302046,5.149950414506851
2.0166876189505216,88,185.29761064405028,4.605137624487192,3.3410764181651307
217.78225799605562,90,52.482445381977655,4.18039364030949,2.841740557170065
261.40481366382187,98,0.5705082456951768,3.590875434110111,2.325797485720542
244.8548430767306,90,25.599531461869528,3.8797279449373505,2.841740557170065
0.0,88,184.0226040681847,4.608949380744274,3.2884856988254407
1.551632857559245,90,176.03388919197192,4.589430485885201,3.2694401649490743
2.957723863018774,88,179.36879733974033,4.601011349122222,3.2984077121335416
0.0,89,182.05908982317257,4.602637885343189,3.2519170870380045
294.44234480959767,58,23.625716110889233,2.8778824378305385,8.41705253173713
282.14130338491344,34,12.141303384913446,3.3609840323729765,9.40071353620147
68.01748843333269,120,199.3683315219954,2.9013860890735836,8.39663181796313
13.981023708890447,94,183.77863181206294,4.276006685641059,4.707043701130686
339.1,77,171.30302381350194,3.1,6.12
339.7776755729405,120,198.37839292398024,3.1120463191379844,4.073535992279838
297.24214852558737,101,242.75785147441266,3.705757619021891,4.560778378378378
335.12941647187694,60,158.88756988692506,3.1131955664404427,4.107834395087065
342.6240633016577,59,158.24260262992553,3.0956143733389934,4.054104181690601
339.7209169650981,60,159.42821503437455,3.0749938140153033,4.010508653616765
324.01207657967586,66,144.0120765796758,3.3183491088324772,4.560778378378378
0.0,88,180.21512211610707,4.59996088307298,3.3063494564411444
317.91476293391327,69,137.91476293391327,3.4065880906814288,4.560778378378378
314.40346802565574,109,225.59653197434426,3.4574027782104815,4.560778378378378
47.600432282775955,69,164.94557603797924,3.422508647858195,4.691816108664381
90.8281816229322,0,2.06927261747667,3.99730928635956,10.63099277058144
275.9366844756281,81,70.37201448488509,3.7591377334567597,6.406387049300957
196.98297998089618,90,73.13600317173817,4.411388551546479,2.841740557170065
85.65436807487157,181,3.1849548264465164,4.002385840190046,10.650785255332552
198.1854291126664,119,336.86776623805764,3.11505757618893,4.2291027996861015
179.76338730960694,179,0.6601418587007497,3.4669364014373065,4.1408121404746625
290.51622041199846,121,338.6617237293667,2.9129227900009083,8.468860774143273
268.30627518390247,90,268.1220438887601,4.096845781281584,5.114085018797352
270.82803567901937,88,269.1875617068285,4.111277883360485,5.226843736141542
267.81732498090395,89,268.9757820775732,4.086298121006684,5.140867822812743
272.5109236166286,90,270.55331613798546,4.106289833868284,5.202481166250078
273.2550561274976,88,266.5597480902059,4.09241183495441,5.178163136598846
271.68182547254315,88,267.5344963005601,4.106259912170264,5.227863382056415
271.18270830343033,90,268.14589679202794,4.103413682518973,5.200273388957911
271.1473772022147,89,267.0805409711007,4.10144435465402,5.24928505340669
270.8407317859075,89,268.45195532612024,4.100132859421015,5.188338543559527
0.6519500479462499,180,0.0,3.499210312324414,4.359589995882906
0.0,180,0.40078574131155875,3.4969601062767213,4.279358588456566
0.0,179,0.28830090324771607,3.49258276736461,4.17276682958257
1.6424426198681779,180,2.0408130497028902,3.4764224897477094,4.277923127662757
0.0,179,0.0,3.505910662432684,4.228565812822286
0.0,180,0.0,3.507370271957145,4.215687858009997
0.0,180,0.71277689791864,3.4954272926426833,4.2695707565286405
47.83309850584056,180,0.0,3.7657394361435585,6.043176312247644
0.0,178,0.9393668924786578,3.4999628666486378,4.151356859101298
223.29778529820996,90,90.0,4.359456748343278,7.292234891676168
205.7992507975403,90,90.0,4.456670828902554,7.292234891676168
270.0,90,36.895831785029216,3.804976843250162,2.466980854197349
267.97411151578433,90,90.18440793530537,4.080331377252175,5.245377898112009
267.48655349621487,88,91.24784646568742,4.093109306880185,5.267160915789258
270.0,90,55.73040234270829,3.909613346348379,2.466980854197349
272.3640388610078,90,88.82937794639389,4.097002615747057,5.284980439171218
269.78536609273,90,94.04252607424527,4.080015607479502,5.23806954462249
260.58390480062064,90,90.0,4.152311639996552,7.292234891676168
201.5518653167706,120,161.35777241214845,3.515711874706072,3.570775360528335
200.97503441719272,119,157.71388496415932,3.505080850259016,3.4639693136203653
201.16015230129366,120,160.05016949967563,3.5077457159836385,3.466029810605824
202.3387117034521,119,161.4587756839896,3.4985867302555036,3.5862754352496737
207.20049058631895,119,160.64381568944518,3.5000298716947174,3.5018237463567115
205.2880442269355,120,162.86761983138666,3.510989034453046,3.412147388877771
198.61347224119518,119,156.6754620937848,3.497786847399773,3.5464059497934963
201.63736668374708,119,158.8783169078325,3.500570912467686,3.4614803373155825
198.32893883030889,118,159.38443160492304,3.5051825213050156,3.585143391142609
2.880796668650925,93,141.72558388472072,4.448379122702582,5.381071343442307
5.205435891126601,96,174.90292218621207,4.353351403280057,3.3336488228331262
21.20964206771332,118,156.9771253477456,3.583189744336655,3.495194219565319
6.565674295776974,95,173.6090808153531,4.35115248964117,3.5207453471253447
1.7661934986647414,92,234.7550693976357,4.507042447438698,5.381071343442307
67.14883989001991,91,178.727331023148,3.8010599676801933,2.20236082858207
8.921634433991695,101,170.6186450279915,4.1556637956933855,3.495194219565319
8.79248011671005,102,171.20751988328993,4.137237888594207,3.4408113838608467
8.090624021158296,95,173.73023330372314,4.3480044081304,3.280227664928106
19.509265510283573,120,151.78962245327847,3.5125313852631224,3.4415150681711637
17.780264226694136,113,160.7842458105357,3.7429576973523755,3.495194219565319
15.222600416352433,110,163.62363379304966,3.862114212156017,3.495194219565319
25.520044615032194,119,153.38841878510377,3.546988687658583,3.5213250797672164
18.160683917480426,119,153.46098081989393,3.5394692392287097,3.540833310627193
6.385748764791787,98,173.43385602837458,4.273805709834162,3.495194219565319
21.949398708685177,120,156.98513038246497,3.519516141784207,3.4865629549441195
22.05232890485235,120,154.87893513042283,3.5291981578998666,3.5450872346471103
21.77033756643084,120,155.4637267554376,3.5112660029236404,3.4971906047583627
8.774256717217735,103,170.4246802895312,4.099083270443144,3.4596372580376116
5.510381976050919,97,137.3943997377901,4.309979895997319,5.386965422624279
2.3433934837596446,93,110.15535910122736,4.476663500854755,5.386965422624279
7.610222193651293,104,170.94155104083046,4.111457037427022,3.4920455571705364
78.72345260610994,91,178.6889150647512,3.670858111158624,2.2033475044354436
8.782293218495369,102,165.535873415104,4.137774041131822,5.386965422624279
9.858755001371655,103,170.56292177535337,4.106757657640485,3.4665713976026735
9.36886434370862,102,170.580929548023,4.106901876646914,5.386965422624279
79.32760729371718,91,178.75915802847175,3.6670618020122028,2.2033475044354436
89.23206074954336,179,0.0,4.001828942034589,10.607456139935266
88.95257667060923,179,2.77894965525496,3.989237734811769,10.71501173145237
91.30700768814951,179,1.1105390983432737,4.001339339508607,10.619390051565315
80.30635568618533,180,0.0,3.9461464204788075,6.043176312247644
90.16878476910962,180,1.8219252017636396,4.002695894975772,10.684106830319108
88.68856174408499,180,0.2600062885057071,3.9863205350470032,10.607852176570152
91.30716723406738,180,0.0,3.9932592837739733,10.644013662614636
31.948324173205144,180,0.0,3.6774906898511395,6.043176312247644
90.89676197710267,180,0.0,3.9982261406893245,10.655655903199786
85.72264830307748,89,271.03230592020725,4.109934809033554,5.134746035045666
92.0977560014589,89,268.3656577904028,4.095611461081403,5.115307364069921
89.19144103462138,91,274.07583747209026,4.111861029020271,5.110404636108347
89.6598846996221,90,269.99158779674536,4.105264043233256,5.303710868563914
92.49933193068996,89,270.53415170839725,4.107291888760064,5.128257996160431
89.57069549309016,91,269.2954723768395,4.097238219217889,5.2093194536465415
90.28447525896026,91,270.0184360583557,4.10896811560632,5.029746625917435
93.57514267419441,91,271.5859501928235,4.1084120495820065,5.069941776869694
89.62137680195868,89,270.5555617640232,4.130044515427483,5.111048418649803
91.48181306255624,0,0.0,3.9914556375395884,10.688718787716473
89.85005645858115,0,0.0,3.984817008759321,10.709632758114015
90.32637258386193,0,0.0,4.002310213731549,10.605877301804354
88.69227097812798,0,1.4543781447615987,4.00651685161346,10.717245428811058
90.01758951490116,0,0.0,3.9929681241098463,10.518281698073741
91.74944335941221,0,0.0,3.9882518895406975,10.671658619075322
88.82851823739443,0,0.0,3.9974167261254183,10.752678125846321
89.02211752697356,0,0.0,3.997582564521833,10.584045832002152
90.80772577114361,0,0.0,4.000706201310607,10.6323152664731
90.0,90,90.0,4.1,7.755
88.13124909150082,88,94.47993559880095,4.111325004673026,5.096736413933376
91.86661700106772,88,89.84214964935272,4.113918022161066,5.210819484024086
90.60677540150576,88,93.26150433846809,4.094429182762155,5.232174625663688
88.04970678474083,90,90.32444580732304,4.098415546927964,5.03376077632046
91.12243106359446,89,87.90622947140693,4.104050693348042,5.102432304718714
86.66472312038023,90,91.07720780601808,4.100203921345698,5.215742752719153
90.0,90,90.0,4.1,7.755
87.28382742753307,88,88.67832318553738,4.097332354853936,5.241738692137553
180.86222265173342,178,2.4848560473897185,3.491884303989219,4.11809963494241
177.46382655606686,179,1.046452947387025,3.4986330416519444,4.074499990786011
178.6174161396398,179,0.0,3.492982478546193,4.220153133874591
180.4616442199677,181,0.0,3.5142348795380314,4.183450615513506
178.7804362922306,180,0.0,3.4991457957975003,4.431730338014964
100.79575962097724,180,0.0,3.9400235576612377,6.043176312247644
180.9901245737208,179,0.0,3.5095222019443435,4.2336197788455845
177.665000511583,179,2.203485830198922,3.499458106672111,4.269667467968461
180.18936505059162,181,0.0,3.4930887792478935,4.2817218168179
269.21020279906094,91,2.306801272240924,3.6113191787614607,1.7317715053370315
271.42770003240884,89,1.251223473116135,3.596052351915785,1.59902554022922
268.7855215797107,89,2.4023553776145374,3.5915262702776283,1.5412524687089393
272.4777345849412,88,0.0,3.5969182132905475,1.614070011062876
270.0,46,0.0,3.7913564941441935,2.8118760195758568
270.03744244527314,91,0.0,3.605841398335406,1.7310486337809539
272.0164880640737,90,0.0,3.598252363264986,1.7703777732477222
270.0,78,0.0,3.652678009918305,2.8118760195758568
271.96980636353067,92,0.0,3.5870895015664837,1.8320751127942057
0.0,90,269.735637614864,4.598444260104089,12.388018165591896
0.0,88,265.7637030850691,4.596989894573376,12.354126185151909
24.45659600540723,90,270.0,4.464130022192181,7.292234891676168
0.0,91,268.6752379081234,4.601468290502369,12.378509822582329
29.83159311962583,90,270.0,4.434268927113189,7.292234891676168
0.0,89,270.55187143419397,4.595282383101711,12.361392752431579
2.539018790580358,90,271.48998160826625,4.611211616343332,12.2735912717584
0.0,90,268.65016951133913,4.5903036799972,12.43084340566655
3.3736175265669273,90,274.7694400097837,4.609390257813755,12.279968932228053
87.84460499162114,91,89.14265802538667,4.115151179918136,5.134063197157203
93.80140181770331,90,90.7007681039944,4.110665408545788,5.146128690263769
88.9196263501448,90,90.59236526965289,4.0909010927882425,5.108922926791688
88.30224423360943,89,91.36895946551937,4.104531904127462,5.2221423451775815
95.49903217683439,89,88.81970249934463,4.096634308383103,5.11332459696219
88.14561193391253,90,90.35061405040848,4.105405667182084,5.250160949199644
92.10662456745996,89,89.99583619441594,4.087696806695016,5.1070095346213735
93.42469161687899,88,89.45083261720006,4.113641827976242,5.1002668986068596
90.0,90,90.0,4.1,7.755
180.54675462732567,90,91.55954912155347,4.597284030444571,12.52547382129977
177.41775914210464,90,91.50894101095687,4.603357441308616,12.408670278649918
183.54447161804222,87,91.76312258506134,4.597611729124679,12.548542561272278
180.80709991921398,89,91.58089493155012,4.601543217215988,12.362118281090034
181.48319805785232,91,91.58598668113127,4.58262740754069,12.260690781872217
179.7435361484053,89,87.6032517066316,4.592683545634566,12.351374108794449
180.89848573712072,89,90.23478136373447,4.604589675349627,12.392750981602234
181.86867335375422,89,88.93939303548773,4.60981802445448,12.46814667100759
179.29847884367175,90,91.28398282520094,4.5847494488750336,12.467862859140693
269.5625130916932,0,2.4424800150382926,3.9974069722115373,10.771184137294394
265.6398720618114,0,0.0,4.007182007887958,10.663288562054063
268.81222018699486,0,0.0,3.989895008852326,10.471308569297532
271.60697977324065,0,2.1127517347804523,4.005403550464089,10.662918744627888
271.5717036945484,0,2.2933216822201574,3.9896006343203965,10.669493134658026
270.0,78,0.0,3.6531549968268484,2.8118760195758568
271.27717307635214,0,0.0,3.9934901929034625,10.70685939642234
272.4641165230441,0,1.9570201767861863,4.0007877139473464,10.519657911958681
270.0,18,0.0,3.9184391772566713,2.8118760195758568
0.0,88,90.62219416264729,4.598405474294044,12.353888749907899
4.330695011559741,91,86.27251822123617,4.606225232981726,12.397259500672291
4.141186622443055,95,164.35627038605736,4.382042809345102,14.089202898550724
14.903381049189937,110,133.9057903040581,3.8865185949155783,5.521467304989511
4.94215788113609,89,87.22089751329501,4.616842909595183,12.436084280500149
0.5067100478338401,89,89.09604892131699,4.591617878212742,12.415518321619725
5.0435949856705085,96,104.85857625786764,4.358543968970817,5.521483279762228
3.314591910904277,89,87.24160668522367,4.59607853634335,12.48367895879653
8.001433378543014,101,158.81975399638972,4.178871927445104,14.091610169491524
267.7358375427278,90,179.8349394623307,3.6067940418460838,1.6001476263154923
236.76241114666152,104,170.42310052447442,3.5513610159365556,2.2166780920241944
270.0,90,218.83083265091128,3.815726848060618,4.205
256.57764962393327,95,176.1325564004032,3.5803580973061497,2.2166780920241944
271.5423697888281,90,182.23604277130153,3.615077571295816,1.6734877882364507
269.99016062569103,89,176.49219834609724,3.5872803480405833,1.5287826743819508
267.88814259911044,89,180.9617141877224,3.595505719747347,1.6028220331565568
259.51665409821277,94,176.9793852883978,3.584658956565756,3.374588893822499
270.71788111079707,91,180.82911593775478,3.593601626444288,1.704115554589641
87.29505734753175,90,179.18444976677384,3.5997725171056527,1.676542248025958
92.8759403649852,91,181.16250962589362,3.5887228398026028,1.8016841327281443
90.95774782281603,89,178.85985870976617,3.5988629718438947,1.5532592866792625
90.84214865530141,89,181.37523821241905,3.6425504100857995,3.293157918630111
88.37747066133495,90,179.89474337828176,3.609620020141516,1.5116110149810953
89.69393279321218,89,178.82620827064713,3.6001252660798966,1.6643361303056223
89.89544078760193,90,179.23886393552704,3.608046722590238,1.6262358774655203
92.53571798365759,89,177.91108676473843,3.606423390534999,1.507199540837822
88.74548960951212,89,180.19557434664907,3.5984233771364567,1.6849541143360351
107.35878692298172,79,249.04276278822778,4.703157263794903,4.062896024344974
107.46844136025597,79,208.52616093227294,4.482610616023133,4.156315837260221
121.46619015336034,69,227.71728591878895,5.195446273294303,3.4588902643471817
121.11235557668518,71,232.00011108297025,5.197354671339122,3.269730550130592
124.392028561649,69,231.94340806821504,5.2003568671968905,3.3850125184756417
123.30761501903146,70,231.35044215386347,5.206741732230214,3.334957938504963
109.05346752325302,78,211.11452645814,4.562695661350561,2.1831199762567626
121.37352184458848,70,232.28000582370103,5.218278006575386,3.495889343378329
122.06751730116704,69,231.32990789295616,5.2232383461062915,3.362896506326633
104.34088807040317,81,203.41883128387133,4.32458783202807,2.1831199762567626
92.73913940727805,90,90.27375594735317,4.088204997586294,5.099338876938766
54.506333771651775,90,270.0,4.297187034601934,7.292234891676168
270.0,90,153.2840437664508,3.7484219790752733,2.472684336738011
269.4409632763453,0,0.0,4.001567983544517,10.705997640218131
1.5033357113475825,95,177.88548235495944,4.3576745508518195,3.4485323464769078
11.23358758640225,103,171.48973395448826,4.110854903915161,3.553227893658664
202.70077230345404,118,160.6022314089175,3.5050299571100387,3.4822333924593774
